# 2-0.108-0.39
5 1 0
5 1 0
15 3 1
20 4 1
28 5 2
34 6 3
40 7 4
45 8 4
45 8 4
54 9 5
62 10 5
62 10 5
86 13 7
96 14 8
126 19 11
154 23 13
175 26 14
191 28 15
215 31 18
247 35 19
303 42 24
352 49 27
367 52 28
409 58 30
441 62 33
501 72 38
526 77 42
589 84 47
645 91 52
675 97 53
725 107 61
785 117 68
925 131 73
1035 142 82
1125 157 95
1305 175 107
1495 194 114
1735 218 128
1860 243 143
2103 270 159
2343 294 177
2577 333 198
2947 370 221
3127 406 244
3409 453 275
3727 506 307
4056 553 333
4396 621 377
4956 701 426
5796 785 487
6396 885 547
6846 975 596
7773 1078 660
8676 1207 735
9873 1340 805
10695 1477 895
